,ts_code,symbol,name,area,industry,list_date,open,close,change,vol,amount
60,000151.SZ,000151,中成股份,北京,商贸代理,20000906,11.82,12.31,0.43,117775.86,143414.118
61,000153.SZ,000153,丰原药业,安徽,化学制药,20000920,10.16,10.13,-0.16,186323.3,187523.53
62,000155.SZ,000155,川能动力,四川,新型电力,20000926,14.63,14.64,0.14,126121.04,184416.013
63,000156.SZ,000156,华数传媒,浙江,影视音像,20000906,8.98,9.48,0.41,245321.93,229372.871
64,000157.SZ,000157,中联重科,湖南,工程机械,20001012,6.19,6.48,0.29,491707.79,313594.186
65,000158.SZ,000158,常山北明,河北,软件服务,20000724,6.68,6.92,0.16,622232.99,427546.307
66,000159.SZ,000159,国际实业,新疆,石油贸易,20000926,7.44,7.56,0.13,83320.0,62871.644
67,000166.SZ,000166,申万宏源,新疆,证券,20150126,4.46,4.52,0.06,1074125.17,484609.049
68,000301.SZ,000301,东方盛虹,江苏,化纤,20000529,12.68,12.67,-0.06,159245.17,201099.471
69,000333.SZ,000333,美的集团,广东,家用电器,20130918,57.25,56.78,-0.48,156905.51,891005.835
70,000338.SZ,000338,潍柴动力,山东,汽车配件,20070430,11.33,11.52,0.29,268480.23,307653.052
71,000400.SZ,000400,许继电气,河南,电气设备,19970418,22.1,22.5,0.52,205038.98,457089.556
72,000401.SZ,000401,冀东水泥,河北,水泥,19960614,7.91,8.16,0.3,120087.41,96821.709
73,000402.SZ,000402,金融街,北京,全国地产,19960626,4.97,5.04,0.05,112716.88,56583.394
74,000403.SZ,000403,派林生物,山西,生物制药,19960628,23.69,23.5,-0.22,51892.69,121516.96
75,000404.SZ,000404,长虹华意,江西,家用电器,19960619,6.66,6.8,0.17,377136.12,255011.705
76,000407.SZ,000407,胜利股份,山东,供气供热,19960703,3.69,3.72,0.04,68011.0,25182.893
77,000408.SZ,000408,藏格矿业,青海,农药化肥,19960628,22.72,22.88,0.14,70012.04,160020.638
78,000409.SZ,000409,云鼎科技,山东,软件服务,19960627,8.26,8.58,0.34,113572.01,96259.917
79,000410.SZ,000410,*ST沈机,辽宁,机床制造,19960718,6.75,6.94,0.21,102430.8,70188.056
